,,,,,,,,,,,,,,,,,,
1,If Sarah rides the bus then she will be early for her meeting.,If Sarah drives her car then she will be late for her meeting.,If Sarah is early to the meeting she will set up the audio/visual system and Mark won't give her a warning.,If Sarah is late to the meeting she will be given a warning by her manager and won't set up the audio/visual system.,Modal on different QUD,Modal on different QUD,"""Sarah said the audio visual system was not working when she was setting it up before the meeting. I don't know what went wrong, it looks like they may have updated the system.'""","""Sarah said the audio visual system was not working when she was setting it up before the meeting.'""",how certain are you that Sarah took the bus today?,how certain are you that Sarah took the car today?,In which situation is it more probable that Sarah will be early for her meeting?,In which situation is it more probable that Sarah will be late for her meeting?,Certain,Certainly not,Certain,Certainly not,Situation 1,Situation 2
2,If Sarah rides the bus then she will be early for her meeting.,If Sarah drives her car then she will be late for her meeting.,If Sarah is early to the meeting she will set up the audio/visual system and Mark won't give her a warning.,If Sarah is late to the meeting she will be given a warning by her manager and won't set up the audio/visual system.,Modal on different QUD,Modal on different QUD,"""Sarah said Mark, her manager, gave her harsh warning for her constant late arrivals. I don't know it didn't sound all that harsh from where I was sitting. '""","""Sarah said Mark gave her harsh warning for her constant late arrivals. '""",how certain are you that Sarah took the bus today?,how certain are you that Sarah took the car today?,In which situation is it more probable that Sarah will be early for her meeting?,In which situation is it more probable that Sarah will be late for her meeting?,Certainly not,Certain,Certainly not,Certain,Situation 1,Situation 2
3,If Sarah rides the bus then she will be early for her meeting.,If Sarah drives her car then she will be late for her meeting.,If Sarah is early to the meeting she will set up the audio/visual system and Mark won't give her a warning.,If Sarah is late to the meeting she will be given a warning by her manager and won't set up the audio/visual system.,Modal on different QUD,Modal on different QUD,"""Sarah said the audio visual system was not working when she was setting it up before the meeting. I don't know what went wrong, it looks like they may have updated the system.'""","""Sarah said the audio visual system was not working when she was setting it up before the meeting.'""",how certain are you that Sarah is early for her meeting?,how certain are you that Sarah is late for her meeting?,In which situation is it more probable that Sarah will be early for her meeting?,In which situation is it more probable that Sarah will be late for her meeting?,Certain,Certainly not,Certain,Certainly not,Situation 1,Situation 2
4,If Sarah rides the bus then she will be early for her meeting.,If Sarah drives her car then she will be late for her meeting.,If Sarah is early to the meeting she will set up the audio/visual system and Mark won't give her a warning.,If Sarah is late to the meeting she will be given a warning by her manager and won't set up the audio/visual system.,Modal on different QUD,Modal on different QUD,"""Sarah said Mark, her manager, gave her harsh warning for her constant late arrivals. I don't know it didn't sound all that harsh from where I was sitting. '""","""Sarah said Mark gave her harsh warning for her constant late arrivals. '""",how certain are you that Sarah is early for her meeting?,how certain are you that Sarah is late for her meeting?,In which situation is it more probable that Sarah will be early for her meeting?,In which situation is it more probable that Sarah will be late for her meeting?,Certainly not,Certain,Certainly not,Certain,Situation 1,Situation 2
5,If Sarah rides the bus then she will be early for her meeting.,If Sarah drives her car then she will be late for her meeting.,If Sarah is early to the meeting she will set up the audio/visual system and Mark won't give her a warning.,If Sarah is late to the meeting she will be given a warning by her manager and won't set up the audio/visual system.,Modal on different QUD,Modal on different QUD,"""Sarah said the audio visual system was not working when she was setting it up before the meeting. I don't know what went wrong, it looks like they may have updated the system.'""","""Sarah said the audio visual system was not working when she was setting it up before the meeting.'""",how certain are you that Sarah set up the audio/visual system?,how certain are you that Sarah was given a warning by her manager?,In which situation is it more probable that Sarah will be early for her meeting?,In which situation is it more probable that Sarah will be late for her meeting?,Certain,Certainly not,Certain,Certainly not,Situation 1,Situation 2
6,If Sarah rides the bus then she will be early for her meeting.,If Sarah drives her car then she will be late for her meeting.,If Sarah is early to the meeting she will set up the audio/visual system and Mark won't give her a warning.,If Sarah is late to the meeting she will be given a warning by her manager and won't set up the audio/visual system.,Modal on different QUD,Modal on different QUD,"""Sarah said Mark, her manager, gave her harsh warning for her constant late arrivals. I don't know it didn't sound all that harsh from where I was sitting. '""","""Sarah said Mark gave her harsh warning for her constant late arrivals. '""",how certain are you that Sarah set up the audio/visual system?,how certain are you that Sarah was given a warning by her manager?,In which situation is it more probable that Sarah will be early for her meeting?,In which situation is it more probable that Sarah will be late for her meeting?,Certainly not,Certain,Certainly not,Certain,Situation 1,Situation 2
,,,,,,,,,,,,,,,,,,
1,If Evan drinks coffee then he will not drink anything else and will not sleep in the afternoon.,If Evan drinks a hot chocolate he will not drink anything else and will sleep in the afternoon.,If Evan sleeps in the afternoon then he will be stay awake longer than 9 in the night.,If Evan does not sleep in the afternoon then he will not stay awake longer than 9 in the night.,Modal on different QUD,Modal on different QUD,"Evan said that the cappuccino he had tasted good and that it could have been the beans. But I don't agree, I thought it tasted bad.'",Evan said that the cappuccino he had tasted good.',how certain are you that Evan drank coffee today?,how certain are you that Evan drank hot chocolate today?,,,Certain,Certainly not,Certain,Certainly not,,
2,If Evan drinks coffee then he will not drink anything else and will not sleep in the afternoon.,If Evan drinks a hot chocolate he will not drink anything else and will sleep in the afternoon.,If Evan sleeps in the afternoon then he will be stay awake longer than 9 in the night.,If Evan does not sleep in the afternoon then he will not stay awake longer than 9 in the night.,Modal on different QUD,Modal on different QUD,"Evan said that the hot chocolate he had tasted good and that it could have been the brand. But I don't agree, I thought it tasted bad.'",Evan said that the hot chocolate he had tasted good.',how certain are you that Evan drank coffee today?,how certain are you that Evan drank hot chocolate today?,,,Certainly not,Certain,Certainly not,Certain,,
3,If Evan drinks coffee then he will not drink anything else and will not sleep in the afternoon.,If Evan drinks a hot chocolate he will not drink anything else and will sleep in the afternoon.,If Evan sleeps in the afternoon then he will be stay awake longer than 9 in the night.,If Evan does not sleep in the afternoon then he will not stay awake longer than 9 in the night.,Modal on different QUD,Modal on different QUD,"Evan said that the cappuccino he had tasted good and that it could have been the beans. But I don't agree, I thought it tasted bad.'",Evan said that the cappuccino he had tasted good.',how certain are you that Evan will not sleep in the afternoon?,how certain are you that Evan will sleep in the afternoon?,,,Certain,Certainly not,Certain,Certainly not,,
